make,model_name,model_details,price,kms,year,transmission,detailsLink,type1,type2,type 3,,,
Toyota,hilux, D/C 2.8Gd-6 4x4 A/T,"490,000","205,000",2019,Automatic,https://www.namcars.net/Toyota-Hilux-D-C-2.8Gd-6-4x4-A-T-1400724481,4x4,Bakkie,,,,
Isuzu,isuzu, D-Max 250 4X4,"258,000","205,000",2019,Manual,https://www.namcars.net/Isuzu-Isuzu-D-Max-250-4X4-1400734774,4x4,,,,,
Volkswagen,amarok, 2.0 4Motion Highline,"349,000","203,000",2015,Automatic,https://www.namcars.net/Volkswagen-Amarok-2.0-4Motion-Highline-1400734211,4x4,Bakkie,,,,
Toyota,hilux, DAKAR 4.0 V6 A/T 4x4,"339,900","203,000",2015,Automatic,https://www.namcars.net/Toyota-Hilux-DAKAR-4.0-V6-A-T-4x4-1400735067,4x4,Bakkie,,,,
Volkswagen,amarok, 2.0TDI 4x4,"259,900","202,204",2013,Manual,https://www.namcars.net/Volkswagen-Amarok-2.0TDI-4x4-1400734864,4x4,Bakkie,,,,
Ford,ranger, 2.2 XL 4x4 Dcab,"239,900","200,000",2016,Manual,https://www.namcars.net/Ford-Ranger-2.2-XL-4x4-Dcab-1400734615,4x4,Bakkie,,,,
Toyota,corolla,  Exclusive CVT,"220,000","200,000",2017,Automatic,https://www.namcars.net/Toyota-Corolla-Exclusive-CVT-1400734116,,,,,,
Volkswagen,volkwagen," Kombi 2,0Tdi","179,900","200,000",2014,Manual,https://www.namcars.net/Volkswagen-Volkwagen-Kombi-2-0Tdi-1400734898,,,,,,
Chevrolet,utility, 1.4 A/C,"99,900","199,399",2013,Manual,https://www.namcars.net/Chevrolet-Utility-1.4-A-C-1400733984,,,,,,
Nissan,np, 200 1.6 A/c S/C,"129,900","199,000",2019,Manual,https://www.namcars.net/Nissan-NP-200-1.6-A-c-S-C-1400734073,,,,,,
Toyota,hilux, GD6,"419,995","199,000",2017,Automatic,https://www.namcars.net/Toyota-Hilux-GD6-1400735166,4x4,Bakkie,,,,
Nissan,hardbody, NP 300 2.5 S/CAB 4x4,"271,400","196,000",2019,Manual,https://www.namcars.net/Nissan-Hardbody-NP-300-2.5-S-CAB-4x4-1400733712,4x4,,,,,
Volkswagen,tiguan, 1.4 TSI Bluemotion Tr...,"159,900","195,000",2015,Manual,https://www.namcars.net/Volkswagen-Tiguan-1.4-TSI-Bluemotion-Trend-Fun-90kw-2015-1400730789,,,SUV,,,
Mitsubishi,OUTLANDER,-,"85,000","194,683",2010,Automatic,https://www.namcars.net/Mitsubishi-OUTLANDER-1400735169,4x4,,SUV,,,
